# seed  cv_score  training_mse  validation_mse  training_time(s)
2.852000000000000000e+03 2.942721255523161883e+00 2.779677210881520200e+00 3.527719433478391231e+00 6.631314754486083984e-01
2.274000000000000000e+03 2.942739413163564688e+00 3.025370427921485028e+00 3.773167974171085959e+00 4.277892112731933594e-01
3.570000000000000000e+03 2.948532925309507391e+00 2.898611684901936769e+00 3.575949412978613129e+00 1.978041172027587891e+00
7.051000000000000000e+03 2.958489850594192117e+00 2.877531903539917391e+00 3.370393408522941225e+00 1.240024566650390625e+00
3.500000000000000000e+03 2.967475923311666097e+00 2.907121208418690372e+00 3.571015113918530215e+00 7.338013648986816406e-01
3.363000000000000000e+03 2.972706549976368962e+00 2.896693712588264802e+00 3.518853212935749930e+00 7.256937026977539062e-01
6.349000000000000000e+03 2.973380981492158348e+00 2.895806211715690637e+00 3.403470504216445036e+00 1.368280172348022461e+00
5.090000000000000000e+03 2.975050324301808491e+00 2.867507367967991883e+00 3.275209984777342154e+00 6.296098232269287109e-01
1.042000000000000000e+03 2.976946809141311601e+00 2.864550153803211430e+00 3.379357911997845410e+00 1.187255144119262695e+00
9.037000000000000000e+03 2.978880717123358668e+00 2.926046147557368915e+00 3.564043886782260806e+00 8.719246387481689453e-01
9.186000000000000000e+03 2.981242824512370326e+00 2.801253600060965354e+00 3.303042773926579301e+00 4.264426231384277344e-01
9.503000000000000000e+03 2.982849185258600322e+00 2.900447440313377534e+00 3.591318730098546741e+00 1.454595804214477539e+00
5.609000000000000000e+03 2.986347771588483191e+00 2.960199373623189523e+00 3.703014255476397842e+00 7.500081062316894531e-01
5.791000000000000000e+03 2.988742053635614404e+00 3.031306682197328684e+00 3.769305760435584851e+00 6.505863666534423828e-01
1.598000000000000000e+03 2.994773973857733473e+00 2.946185701653993405e+00 3.625076699779086198e+00 1.268314838409423828e+00
9.123000000000000000e+03 2.997480904189823825e+00 2.890450119244106553e+00 3.494611126795246658e+00 9.355735778808593750e-01
3.126000000000000000e+03 2.999711502085830261e+00 2.889137048024322585e+00 3.484088942309532477e+00 6.669492721557617188e-01
3.405000000000000000e+03 3.010256987408243212e+00 2.956449674068771127e+00 3.407321183044679014e+00 1.165869474411010742e+00
3.250000000000000000e+02 3.013454468856922031e+00 2.900511446014112593e+00 3.559393185792506742e+00 7.632629871368408203e-01
3.965000000000000000e+03 3.013860549739860950e+00 2.970603975889103854e+00 3.624031903842363178e+00 7.595510482788085938e-01
6.331000000000000000e+03 3.017044710077733338e+00 2.949965255448000256e+00 3.652080890443025307e+00 7.312929630279541016e-01
2.600000000000000000e+01 3.018097543241540226e+00 2.912451767636593747e+00 3.434013522031346799e+00 7.568669319152832031e-01
5.816000000000000000e+03 3.022283065445643402e+00 2.869634187571098227e+00 3.324045034336549076e+00 5.649504661560058594e-01
6.910000000000000000e+02 3.022715785992433180e+00 2.996234658538362794e+00 3.665960074617734321e+00 8.719058036804199219e-01
4.920000000000000000e+02 3.031147390670316799e+00 2.929417394873396585e+00 3.521615110559707773e+00 5.432453155517578125e-01
8.753000000000000000e+03 3.031174204613568346e+00 3.013749123470232494e+00 3.535642455780860782e+00 4.246335029602050781e-01
8.440000000000000000e+02 3.035682067210234258e+00 3.059679155510537374e+00 3.749988858395473024e+00 4.348492622375488281e-01
6.054000000000000000e+03 3.037324791047987471e+00 2.976214907305724910e+00 3.505966548930125271e+00 1.341112613677978516e+00
5.586000000000000000e+03 3.039673992740632436e+00 2.890739487079402981e+00 3.401826802945834505e+00 8.706290721893310547e-01
4.032000000000000000e+03 3.040375427705995115e+00 2.887411496534622035e+00 3.391886282050416757e+00 5.407049655914306641e-01
9.943000000000000000e+03 3.046824199130258926e+00 2.948404852520731367e+00 3.472308463187005145e+00 7.447097301483154297e-01
8.964000000000000000e+03 3.053019539261430992e+00 2.944683929984427628e+00 3.330607759277236735e+00 8.351769447326660156e-01
1.665000000000000000e+03 3.058232758519709549e+00 3.011445519429002182e+00 3.749984767697799537e+00 8.726816177368164062e-01
6.028000000000000000e+03 3.058870353253218433e+00 2.940116029609534110e+00 3.550866948645019949e+00 6.437580585479736328e-01
6.180000000000000000e+02 3.059900493994249793e+00 3.017028679735144436e+00 3.650346852857593749e+00 5.322694778442382812e-01
7.146000000000000000e+03 3.060373091407348145e+00 2.974990221106148969e+00 3.570948754342674114e+00 1.048635244369506836e+00
3.664000000000000000e+03 3.063044116379868065e+00 2.996031206241399847e+00 3.595292725016826285e+00 1.479234218597412109e+00
6.939000000000000000e+03 3.071634746424817486e+00 3.032024707957422294e+00 3.741366019130001774e+00 6.300263404846191406e-01
7.196000000000000000e+03 3.071935692846457844e+00 2.934798456073042683e+00 3.301958227034281546e+00 1.270300865173339844e+00
2.500000000000000000e+01 3.073060874324009983e+00 3.048479239988040490e+00 3.679274321463559705e+00 1.477148294448852539e+00
5.164000000000000000e+03 3.076431550844046736e+00 2.957139922783011521e+00 3.442689821510198644e+00 1.241961479187011719e+00
1.873000000000000000e+03 3.077152479636751981e+00 3.048507103326358880e+00 3.714330586087683628e+00 1.678184032440185547e+00
7.588000000000000000e+03 3.080560967054195132e+00 3.037757012099900233e+00 3.677783290570820540e+00 1.157656908035278320e+00
5.421000000000000000e+03 3.081324663158232280e+00 3.028033589516656576e+00 3.710154288499698527e+00 1.291244983673095703e+00
7.959000000000000000e+03 3.083583790307765859e+00 2.948303484349481085e+00 3.360897799017337206e+00 5.227968692779541016e-01
4.178000000000000000e+03 3.086202590490880304e+00 3.062544958321553157e+00 3.715472390397552171e+00 6.198270320892333984e-01
9.083000000000000000e+03 3.086766179877873384e+00 3.064910697618237645e+00 3.720230959955259653e+00 7.264420986175537109e-01
9.971000000000000000e+03 3.089945080802483091e+00 3.037262023958781310e+00 3.561512609960015396e+00 1.037850618362426758e+00
7.778000000000000000e+03 3.092335311790890717e+00 2.984687561549327572e+00 3.689853826784382562e+00 5.218355655670166016e-01
6.029000000000000000e+03 3.092954682996996940e+00 3.061117069881631458e+00 3.742925280826179257e+00 6.328561305999755859e-01
7.202000000000000000e+03 3.093537960938653519e+00 3.008763317863933473e+00 3.530590617811371956e+00 2.094186067581176758e+00
5.650000000000000000e+03 3.093636091787178355e+00 3.018085630870178004e+00 3.665991207641066119e+00 1.256428241729736328e+00
1.483000000000000000e+03 3.093841507452622874e+00 3.056956873350953341e+00 3.764256314899383504e+00 1.167054653167724609e+00
