,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2288,2013-2014,Accomack County,Arcadia High,3.0,F,N,N,N,6,100.0,0.0
2289,2013-2014,Accomack County,Arcadia High,3.0,F,N,N,Y,21,90.47619047619048,4.761904761904762
2291,2013-2014,Accomack County,Arcadia High,3.0,F,N,Y,Y,1,100.0,0.0
2292,2013-2014,Accomack County,Arcadia High,3.0,F,Y,N,N,1,100.0,0.0
2293,2013-2014,Accomack County,Arcadia High,3.0,F,Y,N,Y,1,100.0,0.0
2296,2013-2014,Accomack County,Arcadia High,3.0,M,N,N,N,6,66.66666666666667,0.0
2297,2013-2014,Accomack County,Arcadia High,3.0,M,N,N,Y,20,85.0,10.0
2301,2013-2014,Accomack County,Arcadia High,3.0,M,Y,N,Y,2,100.0,0.0
2320,2013-2014,Accomack County,Arcadia High,5.0,F,N,N,N,7,85.71428571428571,0.0
2321,2013-2014,Accomack County,Arcadia High,5.0,F,N,N,Y,11,90.9090909090909,9.090909090909092
2324,2013-2014,Accomack County,Arcadia High,5.0,F,Y,N,N,1,100.0,0.0
2325,2013-2014,Accomack County,Arcadia High,5.0,F,Y,N,Y,4,100.0,0.0
2328,2013-2014,Accomack County,Arcadia High,5.0,M,N,N,N,14,92.85714285714286,0.0
2329,2013-2014,Accomack County,Arcadia High,5.0,M,N,N,Y,9,88.88888888888889,0.0
2332,2013-2014,Accomack County,Arcadia High,5.0,M,Y,N,N,3,100.0,0.0
2333,2013-2014,Accomack County,Arcadia High,5.0,M,Y,N,Y,5,100.0,0.0
2401,2013-2014,Accomack County,Chincoteague High,3.0,F,N,N,Y,2,100.0,0.0
2408,2013-2014,Accomack County,Chincoteague High,3.0,M,N,N,N,1,100.0,0.0
2409,2013-2014,Accomack County,Chincoteague High,3.0,M,N,N,Y,1,100.0,0.0
2432,2013-2014,Accomack County,Chincoteague High,5.0,F,N,N,N,11,100.0,0.0
2433,2013-2014,Accomack County,Chincoteague High,5.0,F,N,N,Y,2,100.0,0.0
2440,2013-2014,Accomack County,Chincoteague High,5.0,M,N,N,N,6,83.33333333333333,0.0
2441,2013-2014,Accomack County,Chincoteague High,5.0,M,N,N,Y,8,87.5,12.5
2445,2013-2014,Accomack County,Chincoteague High,5.0,M,Y,N,Y,1,100.0,0.0
2512,2013-2014,Accomack County,Nandua High,3.0,F,N,N,N,9,88.88888888888889,11.11111111111111
2513,2013-2014,Accomack County,Nandua High,3.0,F,N,N,Y,21,95.23809523809524,4.761904761904762
2515,2013-2014,Accomack County,Nandua High,3.0,F,N,Y,Y,1,100.0,0.0
2517,2013-2014,Accomack County,Nandua High,3.0,F,Y,N,Y,2,50.0,50.0
2520,2013-2014,Accomack County,Nandua High,3.0,M,N,N,N,10,80.0,10.0
2521,2013-2014,Accomack County,Nandua High,3.0,M,N,N,Y,15,80.0,6.666666666666667
2524,2013-2014,Accomack County,Nandua High,3.0,M,Y,N,N,2,100.0,0.0
2525,2013-2014,Accomack County,Nandua High,3.0,M,Y,N,Y,5,80.0,20.0
2544,2013-2014,Accomack County,Nandua High,5.0,F,N,N,N,24,87.5,4.166666666666667
2545,2013-2014,Accomack County,Nandua High,5.0,F,N,N,Y,9,88.88888888888889,11.11111111111111
2548,2013-2014,Accomack County,Nandua High,5.0,F,Y,N,N,3,100.0,0.0
2549,2013-2014,Accomack County,Nandua High,5.0,F,Y,N,Y,1,0.0,100.0
2552,2013-2014,Accomack County,Nandua High,5.0,M,N,N,N,34,94.11764705882354,2.9411764705882355
2553,2013-2014,Accomack County,Nandua High,5.0,M,N,N,Y,9,88.88888888888889,11.11111111111111
2556,2013-2014,Accomack County,Nandua High,5.0,M,Y,N,N,3,100.0,0.0
2557,2013-2014,Accomack County,Nandua High,5.0,M,Y,N,Y,1,0.0,100.0
2808,2013-2014,Albemarle County,Albemarle High,2.0,F,N,N,N,10,100.0,0.0
2809,2013-2014,Albemarle County,Albemarle High,2.0,F,N,N,Y,2,100.0,0.0
2810,2013-2014,Albemarle County,Albemarle High,2.0,F,N,Y,N,4,100.0,0.0
2816,2013-2014,Albemarle County,Albemarle High,2.0,M,N,N,N,3,100.0,0.0
2817,2013-2014,Albemarle County,Albemarle High,2.0,M,N,N,Y,4,100.0,0.0
2819,2013-2014,Albemarle County,Albemarle High,2.0,M,N,Y,Y,1,100.0,0.0
2820,2013-2014,Albemarle County,Albemarle High,2.0,M,Y,N,N,1,100.0,0.0
2824,2013-2014,Albemarle County,Albemarle High,3.0,F,N,N,N,20,95.0,0.0
2825,2013-2014,Albemarle County,Albemarle High,3.0,F,N,N,Y,10,90.0,0.0
2827,2013-2014,Albemarle County,Albemarle High,3.0,F,N,Y,Y,1,100.0,0.0
2828,2013-2014,Albemarle County,Albemarle High,3.0,F,Y,N,N,1,100.0,0.0
2829,2013-2014,Albemarle County,Albemarle High,3.0,F,Y,N,Y,3,100.0,0.0
2832,2013-2014,Albemarle County,Albemarle High,3.0,M,N,N,N,16,81.25,6.25
2833,2013-2014,Albemarle County,Albemarle High,3.0,M,N,N,Y,8,75.0,0.0
2835,2013-2014,Albemarle County,Albemarle High,3.0,M,N,Y,Y,1,0.0,0.0
2836,2013-2014,Albemarle County,Albemarle High,3.0,M,Y,N,N,2,50.0,50.0
2837,2013-2014,Albemarle County,Albemarle High,3.0,M,Y,N,Y,6,83.33333333333333,16.666666666666668
2856,2013-2014,Albemarle County,Albemarle High,5.0,F,N,N,N,126,98.41269841269842,0.0
2857,2013-2014,Albemarle County,Albemarle High,5.0,F,N,N,Y,13,100.0,0.0
2859,2013-2014,Albemarle County,Albemarle High,5.0,F,N,Y,Y,2,100.0,0.0
2860,2013-2014,Albemarle County,Albemarle High,5.0,F,Y,N,N,5,100.0,0.0
2861,2013-2014,Albemarle County,Albemarle High,5.0,F,Y,N,Y,1,100.0,0.0
2864,2013-2014,Albemarle County,Albemarle High,5.0,M,N,N,N,114,99.12280701754386,0.0
2865,2013-2014,Albemarle County,Albemarle High,5.0,M,N,N,Y,11,100.0,0.0
2867,2013-2014,Albemarle County,Albemarle High,5.0,M,N,Y,Y,3,66.66666666666667,0.0
2868,2013-2014,Albemarle County,Albemarle High,5.0,M,Y,N,N,10,90.0,0.0
2869,2013-2014,Albemarle County,Albemarle High,5.0,M,Y,N,Y,3,33.333333333333336,66.66666666666667
2936,2013-2014,Albemarle County,Monticello High,3.0,F,N,N,N,11,100.0,0.0
2937,2013-2014,Albemarle County,Monticello High,3.0,F,N,N,Y,8,87.5,12.5
2940,2013-2014,Albemarle County,Monticello High,3.0,F,Y,N,N,2,100.0,0.0
2944,2013-2014,Albemarle County,Monticello High,3.0,M,N,N,N,9,88.88888888888889,11.11111111111111
2945,2013-2014,Albemarle County,Monticello High,3.0,M,N,N,Y,4,75.0,25.0
2948,2013-2014,Albemarle County,Monticello High,3.0,M,Y,N,N,2,100.0,0.0
2949,2013-2014,Albemarle County,Monticello High,3.0,M,Y,N,Y,3,100.0,0.0
2968,2013-2014,Albemarle County,Monticello High,5.0,F,N,N,N,67,97.01492537313433,1.492537313432836
2969,2013-2014,Albemarle County,Monticello High,5.0,F,N,N,Y,25,92.0,8.0
2972,2013-2014,Albemarle County,Monticello High,5.0,F,Y,N,N,9,100.0,0.0
2976,2013-2014,Albemarle County,Monticello High,5.0,M,N,N,N,67,97.01492537313433,0.0
2977,2013-2014,Albemarle County,Monticello High,5.0,M,N,N,Y,12,83.33333333333333,0.0
2980,2013-2014,Albemarle County,Monticello High,5.0,M,Y,N,N,12,100.0,0.0
2981,2013-2014,Albemarle County,Monticello High,5.0,M,Y,N,Y,2,100.0,0.0
3080,2013-2014,Albemarle County,Murray High,5.0,F,N,N,N,3,100.0,0.0
3081,2013-2014,Albemarle County,Murray High,5.0,F,N,N,Y,3,66.66666666666667,0.0
3084,2013-2014,Albemarle County,Murray High,5.0,F,Y,N,N,3,100.0,0.0
3085,2013-2014,Albemarle County,Murray High,5.0,F,Y,N,Y,1,100.0,0.0
3088,2013-2014,Albemarle County,Murray High,5.0,M,N,N,N,4,100.0,0.0
3089,2013-2014,Albemarle County,Murray High,5.0,M,N,N,Y,1,100.0,0.0
3092,2013-2014,Albemarle County,Murray High,5.0,M,Y,N,N,6,83.33333333333333,16.666666666666668
3192,2013-2014,Albemarle County,Western Albemarle High,5.0,F,N,N,N,98,100.0,0.0
3193,2013-2014,Albemarle County,Western Albemarle High,5.0,F,N,N,Y,6,100.0,0.0
3196,2013-2014,Albemarle County,Western Albemarle High,5.0,F,Y,N,N,5,100.0,0.0
3197,2013-2014,Albemarle County,Western Albemarle High,5.0,F,Y,N,Y,2,100.0,0.0
3200,2013-2014,Albemarle County,Western Albemarle High,5.0,M,N,N,N,91,97.8021978021978,1.098901098901099
3201,2013-2014,Albemarle County,Western Albemarle High,5.0,M,N,N,Y,7,85.71428571428571,14.285714285714286
3204,2013-2014,Albemarle County,Western Albemarle High,5.0,M,Y,N,N,10,90.0,10.0
3205,2013-2014,Albemarle County,Western Albemarle High,5.0,M,Y,N,Y,2,100.0,0.0
1200,2013-2014,Alexandria City,T.C. Williams High,2.0,F,N,N,N,10,100.0,0.0
1201,2013-2014,Alexandria City,T.C. Williams High,2.0,F,N,N,Y,5,100.0,0.0
1202,2013-2014,Alexandria City,T.C. Williams High,2.0,F,N,Y,N,2,50.0,0.0
1203,2013-2014,Alexandria City,T.C. Williams High,2.0,F,N,Y,Y,6,83.33333333333333,16.666666666666668
1208,2013-2014,Alexandria City,T.C. Williams High,2.0,M,N,N,N,6,66.66666666666667,16.666666666666668
1209,2013-2014,Alexandria City,T.C. Williams High,2.0,M,N,N,Y,11,81.81818181818181,18.181818181818183
1210,2013-2014,Alexandria City,T.C. Williams High,2.0,M,N,Y,N,3,33.333333333333336,66.66666666666667
1211,2013-2014,Alexandria City,T.C. Williams High,2.0,M,N,Y,Y,6,50.0,33.333333333333336
1213,2013-2014,Alexandria City,T.C. Williams High,2.0,M,Y,N,Y,1,100.0,0.0
1215,2013-2014,Alexandria City,T.C. Williams High,2.0,M,Y,Y,Y,1,0.0,100.0
1216,2013-2014,Alexandria City,T.C. Williams High,3.0,F,N,N,N,52,86.53846153846153,5.769230769230769
1217,2013-2014,Alexandria City,T.C. Williams High,3.0,F,N,N,Y,64,89.0625,6.25
1218,2013-2014,Alexandria City,T.C. Williams High,3.0,F,N,Y,N,4,50.0,50.0
1219,2013-2014,Alexandria City,T.C. Williams High,3.0,F,N,Y,Y,15,100.0,0.0
1220,2013-2014,Alexandria City,T.C. Williams High,3.0,F,Y,N,N,2,100.0,0.0
1221,2013-2014,Alexandria City,T.C. Williams High,3.0,F,Y,N,Y,13,76.92307692307692,23.076923076923077
