,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2580,2011-2012,Accomack County,Arcadia High,3.0,F,N,N,N,7,100.0,0.0
2581,2011-2012,Accomack County,Arcadia High,3.0,F,N,N,Y,18,94.44444444444444,0.0
2584,2011-2012,Accomack County,Arcadia High,3.0,F,Y,N,N,3,100.0,0.0
2585,2011-2012,Accomack County,Arcadia High,3.0,F,Y,N,Y,2,100.0,0.0
2588,2011-2012,Accomack County,Arcadia High,3.0,M,N,N,N,11,81.81818181818181,9.090909090909092
2589,2011-2012,Accomack County,Arcadia High,3.0,M,N,N,Y,22,77.27272727272727,4.545454545454546
2591,2011-2012,Accomack County,Arcadia High,3.0,M,N,Y,Y,1,100.0,0.0
2593,2011-2012,Accomack County,Arcadia High,3.0,M,Y,N,Y,6,66.66666666666667,33.333333333333336
2612,2011-2012,Accomack County,Arcadia High,5.0,F,N,N,N,21,90.47619047619048,4.761904761904762
2613,2011-2012,Accomack County,Arcadia High,5.0,F,N,N,Y,13,92.3076923076923,7.6923076923076925
2616,2011-2012,Accomack County,Arcadia High,5.0,F,Y,N,N,1,100.0,0.0
2620,2011-2012,Accomack County,Arcadia High,5.0,M,N,N,N,17,88.23529411764706,0.0
2621,2011-2012,Accomack County,Arcadia High,5.0,M,N,N,Y,9,66.66666666666667,11.11111111111111
2624,2011-2012,Accomack County,Arcadia High,5.0,M,Y,N,N,2,50.0,0.0
2625,2011-2012,Accomack County,Arcadia High,5.0,M,Y,N,Y,3,33.333333333333336,33.333333333333336
2708,2011-2012,Accomack County,Chincoteague High,3.0,F,N,N,N,1,100.0,0.0
2709,2011-2012,Accomack County,Chincoteague High,3.0,F,N,N,Y,3,66.66666666666667,0.0
2717,2011-2012,Accomack County,Chincoteague High,3.0,M,N,N,Y,3,100.0,0.0
2740,2011-2012,Accomack County,Chincoteague High,5.0,F,N,N,N,6,83.33333333333333,0.0
2741,2011-2012,Accomack County,Chincoteague High,5.0,F,N,N,Y,6,83.33333333333333,16.666666666666668
2748,2011-2012,Accomack County,Chincoteague High,5.0,M,N,N,N,11,90.9090909090909,9.090909090909092
2749,2011-2012,Accomack County,Chincoteague High,5.0,M,N,N,Y,4,50.0,50.0
2752,2011-2012,Accomack County,Chincoteague High,5.0,M,Y,N,N,1,100.0,0.0
2836,2011-2012,Accomack County,Nandua High,3.0,F,N,N,N,1,100.0,0.0
2837,2011-2012,Accomack County,Nandua High,3.0,F,N,N,Y,25,80.0,8.0
2841,2011-2012,Accomack County,Nandua High,3.0,F,Y,N,Y,5,60.0,20.0
2844,2011-2012,Accomack County,Nandua High,3.0,M,N,N,N,3,66.66666666666667,0.0
2845,2011-2012,Accomack County,Nandua High,3.0,M,N,N,Y,30,73.33333333333333,16.666666666666668
2849,2011-2012,Accomack County,Nandua High,3.0,M,Y,N,Y,8,50.0,50.0
2868,2011-2012,Accomack County,Nandua High,5.0,F,N,N,N,16,100.0,0.0
2869,2011-2012,Accomack County,Nandua High,5.0,F,N,N,Y,12,100.0,0.0
2876,2011-2012,Accomack County,Nandua High,5.0,M,N,N,N,23,95.65217391304348,0.0
2877,2011-2012,Accomack County,Nandua High,5.0,M,N,N,Y,8,100.0,0.0
2881,2011-2012,Accomack County,Nandua High,5.0,M,Y,N,Y,3,66.66666666666667,33.333333333333336
3181,2011-2012,Albemarle County,Albemarle High,3.0,F,N,N,N,11,90.9090909090909,9.090909090909092
3182,2011-2012,Albemarle County,Albemarle High,3.0,F,N,N,Y,10,100.0,0.0
3183,2011-2012,Albemarle County,Albemarle High,3.0,F,N,Y,N,1,100.0,0.0
3185,2011-2012,Albemarle County,Albemarle High,3.0,F,Y,N,N,1,100.0,0.0
3186,2011-2012,Albemarle County,Albemarle High,3.0,F,Y,N,Y,3,100.0,0.0
3189,2011-2012,Albemarle County,Albemarle High,3.0,M,N,N,N,10,60.0,20.0
3190,2011-2012,Albemarle County,Albemarle High,3.0,M,N,N,Y,9,66.66666666666667,22.22222222222222
3192,2011-2012,Albemarle County,Albemarle High,3.0,M,N,Y,Y,1,100.0,0.0
3193,2011-2012,Albemarle County,Albemarle High,3.0,M,Y,N,N,4,75.0,0.0
3194,2011-2012,Albemarle County,Albemarle High,3.0,M,Y,N,Y,6,83.33333333333333,16.666666666666668
3213,2011-2012,Albemarle County,Albemarle High,5.0,F,N,N,N,118,99.15254237288136,0.847457627118644
3214,2011-2012,Albemarle County,Albemarle High,5.0,F,N,N,Y,14,85.71428571428571,7.142857142857143
3216,2011-2012,Albemarle County,Albemarle High,5.0,F,N,Y,Y,4,100.0,0.0
3217,2011-2012,Albemarle County,Albemarle High,5.0,F,Y,N,N,4,75.0,0.0
3218,2011-2012,Albemarle County,Albemarle High,5.0,F,Y,N,Y,2,100.0,0.0
3221,2011-2012,Albemarle County,Albemarle High,5.0,M,N,N,N,115,93.04347826086956,3.4782608695652173
3222,2011-2012,Albemarle County,Albemarle High,5.0,M,N,N,Y,4,100.0,0.0
3224,2011-2012,Albemarle County,Albemarle High,5.0,M,N,Y,Y,1,100.0,0.0
3225,2011-2012,Albemarle County,Albemarle High,5.0,M,Y,N,N,21,90.47619047619048,9.523809523809524
3309,2011-2012,Albemarle County,Monticello High,3.0,F,N,N,N,15,93.33333333333333,0.0
3310,2011-2012,Albemarle County,Monticello High,3.0,F,N,N,Y,7,100.0,0.0
3313,2011-2012,Albemarle County,Monticello High,3.0,F,Y,N,N,1,100.0,0.0
3314,2011-2012,Albemarle County,Monticello High,3.0,F,Y,N,Y,2,100.0,0.0
3317,2011-2012,Albemarle County,Monticello High,3.0,M,N,N,N,24,83.33333333333333,8.333333333333334
3318,2011-2012,Albemarle County,Monticello High,3.0,M,N,N,Y,3,100.0,0.0
3321,2011-2012,Albemarle County,Monticello High,3.0,M,Y,N,N,5,80.0,20.0
3322,2011-2012,Albemarle County,Monticello High,3.0,M,Y,N,Y,2,100.0,0.0
3341,2011-2012,Albemarle County,Monticello High,5.0,F,N,N,N,91,95.6043956043956,2.197802197802198
3342,2011-2012,Albemarle County,Monticello High,5.0,F,N,N,Y,16,81.25,12.5
3345,2011-2012,Albemarle County,Monticello High,5.0,F,Y,N,N,7,71.42857142857143,14.285714285714286
3346,2011-2012,Albemarle County,Monticello High,5.0,F,Y,N,Y,2,0.0,100.0
3349,2011-2012,Albemarle County,Monticello High,5.0,M,N,N,N,76,92.10526315789474,5.2631578947368425
3350,2011-2012,Albemarle County,Monticello High,5.0,M,N,N,Y,8,87.5,12.5
3353,2011-2012,Albemarle County,Monticello High,5.0,M,Y,N,N,19,84.21052631578948,5.2631578947368425
3354,2011-2012,Albemarle County,Monticello High,5.0,M,Y,N,Y,4,75.0,25.0
