,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2517,2018-2019,Accomack County,Arcadia High,4.0,F,N,Y,Y,6,100.0,0.0
2519,2018-2019,Accomack County,Nandua High,4.0,F,N,Y,Y,3,100.0,0.0
2537,2018-2019,Accomack County,Nandua High,3.0,M,N,Y,Y,1,100.0,0.0
2538,2018-2019,Accomack County,Arcadia High,4.0,M,N,Y,Y,8,62.5,37.5
2540,2018-2019,Accomack County,Nandua High,4.0,M,N,Y,Y,5,80.0,20.0
2582,2018-2019,Accomack County,Nandua High,4.0,M,Y,Y,Y,3,66.66666666666667,33.333333333333336
2796,2018-2019,Albemarle County,Albemarle High,2.0,F,N,N,N,16,100.0,0.0
2800,2018-2019,Albemarle County,Albemarle High,3.0,F,N,N,N,11,90.9090909090909,0.0
2801,2018-2019,Albemarle County,Monticello High,3.0,F,N,N,N,10,100.0,0.0
2804,2018-2019,Albemarle County,Albemarle High,4.0,F,N,N,N,7,85.71428571428571,0.0
2808,2018-2019,Albemarle County,Albemarle High,5.0,F,N,N,N,109,99.08256880733946,0.9174311926605505
2809,2018-2019,Albemarle County,Monticello High,5.0,F,N,N,N,73,100.0,0.0
2810,2018-2019,Albemarle County,Murray High,5.0,F,N,N,N,9,100.0,0.0
2811,2018-2019,Albemarle County,Western Albemarle High,5.0,F,N,N,N,106,99.05660377358491,0.0
2824,2018-2019,Albemarle County,Albemarle High,2.0,M,N,N,N,11,100.0,0.0
2828,2018-2019,Albemarle County,Albemarle High,3.0,M,N,N,N,5,100.0,0.0
2829,2018-2019,Albemarle County,Monticello High,3.0,M,N,N,N,4,100.0,0.0
2832,2018-2019,Albemarle County,Albemarle High,4.0,M,N,N,N,7,71.42857142857143,28.571428571428573
2836,2018-2019,Albemarle County,Albemarle High,5.0,M,N,N,N,126,96.82539682539682,0.7936507936507936
2837,2018-2019,Albemarle County,Monticello High,5.0,M,N,N,N,72,94.44444444444444,5.555555555555555
2838,2018-2019,Albemarle County,Murray High,5.0,M,N,N,N,4,75.0,0.0
2839,2018-2019,Albemarle County,Western Albemarle High,5.0,M,N,N,N,92,98.91304347826087,0.0
2852,2018-2019,Albemarle County,Albemarle High,2.0,F,Y,N,N,1,100.0,0.0
2856,2018-2019,Albemarle County,Albemarle High,3.0,F,Y,N,N,5,100.0,0.0
2857,2018-2019,Albemarle County,Monticello High,3.0,F,Y,N,N,4,100.0,0.0
2864,2018-2019,Albemarle County,Albemarle High,5.0,F,Y,N,N,8,87.5,12.5
2865,2018-2019,Albemarle County,Monticello High,5.0,F,Y,N,N,7,100.0,0.0
2866,2018-2019,Albemarle County,Murray High,5.0,F,Y,N,N,2,100.0,0.0
2867,2018-2019,Albemarle County,Western Albemarle High,5.0,F,Y,N,N,6,83.33333333333333,16.666666666666668
2880,2018-2019,Albemarle County,Albemarle High,2.0,M,Y,N,N,1,100.0,0.0
2884,2018-2019,Albemarle County,Albemarle High,3.0,M,Y,N,N,5,40.0,60.0
2885,2018-2019,Albemarle County,Monticello High,3.0,M,Y,N,N,3,100.0,0.0
2888,2018-2019,Albemarle County,Albemarle High,4.0,M,Y,N,N,1,100.0,0.0
2892,2018-2019,Albemarle County,Albemarle High,5.0,M,Y,N,N,8,100.0,0.0
2893,2018-2019,Albemarle County,Monticello High,5.0,M,Y,N,N,4,100.0,0.0
2894,2018-2019,Albemarle County,Murray High,5.0,M,Y,N,N,3,100.0,0.0
2895,2018-2019,Albemarle County,Western Albemarle High,5.0,M,Y,N,N,8,87.5,0.0
2908,2018-2019,Albemarle County,Albemarle High,2.0,F,N,Y,N,2,100.0,0.0
2916,2018-2019,Albemarle County,Albemarle High,4.0,F,N,Y,N,5,100.0,0.0
2923,2018-2019,Albemarle County,Western Albemarle High,5.0,F,N,Y,N,1,100.0,0.0
2936,2018-2019,Albemarle County,Albemarle High,2.0,M,N,Y,N,1,100.0,0.0
2941,2018-2019,Albemarle County,Monticello High,3.0,M,N,Y,N,1,0.0,100.0
2944,2018-2019,Albemarle County,Albemarle High,4.0,M,N,Y,N,5,60.0,40.0
2948,2018-2019,Albemarle County,Albemarle High,5.0,M,N,Y,N,1,100.0,0.0
3000,2018-2019,Albemarle County,Albemarle High,4.0,M,Y,Y,N,1,100.0,0.0
3020,2018-2019,Albemarle County,Albemarle High,2.0,F,N,N,Y,2,100.0,0.0
3024,2018-2019,Albemarle County,Albemarle High,3.0,F,N,N,Y,10,70.0,10.0
3025,2018-2019,Albemarle County,Monticello High,3.0,F,N,N,Y,5,100.0,0.0
3028,2018-2019,Albemarle County,Albemarle High,4.0,F,N,N,Y,9,100.0,0.0
3032,2018-2019,Albemarle County,Albemarle High,5.0,F,N,N,Y,6,83.33333333333333,16.666666666666668
3033,2018-2019,Albemarle County,Monticello High,5.0,F,N,N,Y,18,88.88888888888889,5.555555555555555
3034,2018-2019,Albemarle County,Murray High,5.0,F,N,N,Y,6,50.0,0.0
3035,2018-2019,Albemarle County,Western Albemarle High,5.0,F,N,N,Y,4,100.0,0.0
3048,2018-2019,Albemarle County,Albemarle High,2.0,M,N,N,Y,1,100.0,0.0
