,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2288,2017-2018,Accomack County,Arcadia High,3.0,F,N,N,N,7,85.71428571428571,0.0
2289,2017-2018,Accomack County,Arcadia High,3.0,F,N,N,Y,18,88.88888888888889,5.555555555555555
2290,2017-2018,Accomack County,Arcadia High,3.0,F,N,Y,N,1,100.0,0.0
2292,2017-2018,Accomack County,Arcadia High,3.0,F,Y,N,N,1,100.0,0.0
2296,2017-2018,Accomack County,Arcadia High,3.0,M,N,N,N,10,90.0,0.0
2297,2017-2018,Accomack County,Arcadia High,3.0,M,N,N,Y,18,61.111111111111114,22.22222222222222
2299,2017-2018,Accomack County,Arcadia High,3.0,M,N,Y,Y,1,100.0,0.0
2301,2017-2018,Accomack County,Arcadia High,3.0,M,Y,N,Y,6,66.66666666666667,33.333333333333336
2320,2017-2018,Accomack County,Arcadia High,5.0,F,N,N,N,13,84.61538461538461,7.6923076923076925
2321,2017-2018,Accomack County,Arcadia High,5.0,F,N,N,Y,14,78.57142857142857,14.285714285714286
2325,2017-2018,Accomack County,Arcadia High,5.0,F,Y,N,Y,1,0.0,100.0
2328,2017-2018,Accomack County,Arcadia High,5.0,M,N,N,N,16,93.75,6.25
2329,2017-2018,Accomack County,Arcadia High,5.0,M,N,N,Y,8,75.0,25.0
2332,2017-2018,Accomack County,Arcadia High,5.0,M,Y,N,N,2,100.0,0.0
2333,2017-2018,Accomack County,Arcadia High,5.0,M,Y,N,Y,1,100.0,0.0
2405,2017-2018,Accomack County,Chincoteague High,3.0,F,Y,N,Y,1,100.0,0.0
2409,2017-2018,Accomack County,Chincoteague High,3.0,M,N,N,Y,2,100.0,0.0
2413,2017-2018,Accomack County,Chincoteague High,3.0,M,Y,N,Y,3,100.0,0.0
2432,2017-2018,Accomack County,Chincoteague High,5.0,F,N,N,N,13,100.0,0.0
2433,2017-2018,Accomack County,Chincoteague High,5.0,F,N,N,Y,3,100.0,0.0
2436,2017-2018,Accomack County,Chincoteague High,5.0,F,Y,N,N,1,100.0,0.0
2440,2017-2018,Accomack County,Chincoteague High,5.0,M,N,N,N,12,100.0,0.0
2441,2017-2018,Accomack County,Chincoteague High,5.0,M,N,N,Y,2,100.0,0.0
2444,2017-2018,Accomack County,Chincoteague High,5.0,M,Y,N,N,2,100.0,0.0
2445,2017-2018,Accomack County,Chincoteague High,5.0,M,Y,N,Y,2,100.0,0.0
2512,2017-2018,Accomack County,Nandua High,3.0,F,N,N,N,10,100.0,0.0
2513,2017-2018,Accomack County,Nandua High,3.0,F,N,N,Y,19,84.21052631578948,10.526315789473685
2515,2017-2018,Accomack County,Nandua High,3.0,F,N,Y,Y,1,100.0,0.0
2516,2017-2018,Accomack County,Nandua High,3.0,F,Y,N,N,1,100.0,0.0
2517,2017-2018,Accomack County,Nandua High,3.0,F,Y,N,Y,3,100.0,0.0
2520,2017-2018,Accomack County,Nandua High,3.0,M,N,N,N,7,100.0,0.0
2521,2017-2018,Accomack County,Nandua High,3.0,M,N,N,Y,19,84.21052631578948,5.2631578947368425
2523,2017-2018,Accomack County,Nandua High,3.0,M,N,Y,Y,1,100.0,0.0
2524,2017-2018,Accomack County,Nandua High,3.0,M,Y,N,N,1,100.0,0.0
2525,2017-2018,Accomack County,Nandua High,3.0,M,Y,N,Y,4,75.0,25.0
2528,2017-2018,Accomack County,Nandua High,4.0,F,N,N,N,1,100.0,0.0
2529,2017-2018,Accomack County,Nandua High,4.0,F,N,N,Y,5,80.0,0.0
2531,2017-2018,Accomack County,Nandua High,4.0,F,N,Y,Y,5,60.0,40.0
2533,2017-2018,Accomack County,Nandua High,4.0,F,Y,N,Y,2,50.0,0.0
2535,2017-2018,Accomack County,Nandua High,4.0,F,Y,Y,Y,1,100.0,0.0
2536,2017-2018,Accomack County,Nandua High,4.0,M,N,N,N,2,100.0,0.0
2537,2017-2018,Accomack County,Nandua High,4.0,M,N,N,Y,5,80.0,0.0
2539,2017-2018,Accomack County,Nandua High,4.0,M,N,Y,Y,12,83.33333333333333,16.666666666666668
2541,2017-2018,Accomack County,Nandua High,4.0,M,Y,N,Y,1,100.0,0.0
2544,2017-2018,Accomack County,Nandua High,5.0,F,N,N,N,23,95.65217391304348,4.3478260869565215
2545,2017-2018,Accomack County,Nandua High,5.0,F,N,N,Y,6,33.333333333333336,16.666666666666668
2548,2017-2018,Accomack County,Nandua High,5.0,F,Y,N,N,3,66.66666666666667,0.0
2549,2017-2018,Accomack County,Nandua High,5.0,F,Y,N,Y,1,100.0,0.0
2552,2017-2018,Accomack County,Nandua High,5.0,M,N,N,N,29,93.10344827586206,6.896551724137931
2553,2017-2018,Accomack County,Nandua High,5.0,M,N,N,Y,8,87.5,12.5
2555,2017-2018,Accomack County,Nandua High,5.0,M,N,Y,Y,1,100.0,0.0
2556,2017-2018,Accomack County,Nandua High,5.0,M,Y,N,N,3,100.0,0.0
2557,2017-2018,Accomack County,Nandua High,5.0,M,Y,N,Y,3,33.333333333333336,33.333333333333336
2808,2017-2018,Albemarle County,Albemarle High,2.0,F,N,N,N,11,100.0,0.0
2809,2017-2018,Albemarle County,Albemarle High,2.0,F,N,N,Y,2,100.0,0.0
2810,2017-2018,Albemarle County,Albemarle High,2.0,F,N,Y,N,1,100.0,0.0
2811,2017-2018,Albemarle County,Albemarle High,2.0,F,N,Y,Y,4,100.0,0.0
2812,2017-2018,Albemarle County,Albemarle High,2.0,F,Y,N,N,1,100.0,0.0
2816,2017-2018,Albemarle County,Albemarle High,2.0,M,N,N,N,13,100.0,0.0
