,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2288,2014-2015,Accomack County,Arcadia High,3.0,F,N,N,N,2,100.0,0.0
2289,2014-2015,Accomack County,Arcadia High,3.0,F,N,N,Y,14,85.71428571428571,7.142857142857143
2293,2014-2015,Accomack County,Arcadia High,3.0,F,Y,N,Y,1,100.0,0.0
2296,2014-2015,Accomack County,Arcadia High,3.0,M,N,N,N,5,40.0,20.0
2297,2014-2015,Accomack County,Arcadia High,3.0,M,N,N,Y,21,85.71428571428571,4.761904761904762
2299,2014-2015,Accomack County,Arcadia High,3.0,M,N,Y,Y,2,100.0,0.0
2301,2014-2015,Accomack County,Arcadia High,3.0,M,Y,N,Y,5,100.0,0.0
2320,2014-2015,Accomack County,Arcadia High,5.0,F,N,N,N,13,92.3076923076923,7.6923076923076925
2321,2014-2015,Accomack County,Arcadia High,5.0,F,N,N,Y,16,87.5,12.5
2325,2014-2015,Accomack County,Arcadia High,5.0,F,Y,N,Y,1,100.0,0.0
2328,2014-2015,Accomack County,Arcadia High,5.0,M,N,N,N,8,87.5,0.0
2329,2014-2015,Accomack County,Arcadia High,5.0,M,N,N,Y,13,92.3076923076923,0.0
2332,2014-2015,Accomack County,Arcadia High,5.0,M,Y,N,N,3,66.66666666666667,0.0
2333,2014-2015,Accomack County,Arcadia High,5.0,M,Y,N,Y,2,0.0,50.0
2401,2014-2015,Accomack County,Chincoteague High,3.0,F,N,N,Y,1,100.0,0.0
2405,2014-2015,Accomack County,Chincoteague High,3.0,F,Y,N,Y,1,0.0,100.0
2409,2014-2015,Accomack County,Chincoteague High,3.0,M,N,N,Y,1,100.0,0.0
2432,2014-2015,Accomack County,Chincoteague High,5.0,F,N,N,N,5,100.0,0.0
2433,2014-2015,Accomack County,Chincoteague High,5.0,F,N,N,Y,6,66.66666666666667,33.333333333333336
2437,2014-2015,Accomack County,Chincoteague High,5.0,F,Y,N,Y,1,100.0,0.0
2440,2014-2015,Accomack County,Chincoteague High,5.0,M,N,N,N,13,100.0,0.0
2441,2014-2015,Accomack County,Chincoteague High,5.0,M,N,N,Y,3,66.66666666666667,33.333333333333336
2444,2014-2015,Accomack County,Chincoteague High,5.0,M,Y,N,N,1,100.0,0.0
2445,2014-2015,Accomack County,Chincoteague High,5.0,M,Y,N,Y,1,100.0,0.0
2512,2014-2015,Accomack County,Nandua High,3.0,F,N,N,N,6,100.0,0.0
2513,2014-2015,Accomack County,Nandua High,3.0,F,N,N,Y,22,90.9090909090909,0.0
2515,2014-2015,Accomack County,Nandua High,3.0,F,N,Y,Y,1,100.0,0.0
2517,2014-2015,Accomack County,Nandua High,3.0,F,Y,N,Y,1,100.0,0.0
2520,2014-2015,Accomack County,Nandua High,3.0,M,N,N,N,3,100.0,0.0
2521,2014-2015,Accomack County,Nandua High,3.0,M,N,N,Y,23,91.30434782608695,8.695652173913043
2524,2014-2015,Accomack County,Nandua High,3.0,M,Y,N,N,2,100.0,0.0
2525,2014-2015,Accomack County,Nandua High,3.0,M,Y,N,Y,6,50.0,50.0
2544,2014-2015,Accomack County,Nandua High,5.0,F,N,N,N,26,92.3076923076923,3.8461538461538463
2545,2014-2015,Accomack County,Nandua High,5.0,F,N,N,Y,10,90.0,10.0
2549,2014-2015,Accomack County,Nandua High,5.0,F,Y,N,Y,2,50.0,50.0
