,SCHOOL_YEAR,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2280,2009-2010,Accomack County,Arcadia High,F,3.0,N,N,N,12,66.66666666666667,16.666666666666668
2282,2009-2010,Accomack County,Arcadia High,F,3.0,N,Y,N,32,90.625,6.25
2283,2009-2010,Accomack County,Arcadia High,F,3.0,N,Y,Y,1,0.0,0.0
2284,2009-2010,Accomack County,Arcadia High,F,3.0,Y,N,N,2,100.0,0.0
2296,2009-2010,Accomack County,Arcadia High,F,5.0,N,N,N,26,80.76923076923077,11.538461538461538
2298,2009-2010,Accomack County,Arcadia High,F,5.0,N,Y,N,6,83.33333333333333,16.666666666666668
2300,2009-2010,Accomack County,Arcadia High,F,5.0,Y,N,N,1,100.0,0.0
2302,2009-2010,Accomack County,Arcadia High,F,5.0,Y,Y,N,2,100.0,0.0
2336,2009-2010,Accomack County,Arcadia High,M,3.0,N,N,N,16,37.5,50.0
2338,2009-2010,Accomack County,Arcadia High,M,3.0,N,Y,N,16,56.25,37.5
2340,2009-2010,Accomack County,Arcadia High,M,3.0,Y,N,N,3,66.66666666666667,33.333333333333336
2342,2009-2010,Accomack County,Arcadia High,M,3.0,Y,Y,N,3,66.66666666666667,33.333333333333336
2352,2009-2010,Accomack County,Arcadia High,M,5.0,N,N,N,28,82.14285714285714,14.285714285714286
2354,2009-2010,Accomack County,Arcadia High,M,5.0,N,Y,N,6,83.33333333333333,0.0
2356,2009-2010,Accomack County,Arcadia High,M,5.0,Y,N,N,3,33.333333333333336,66.66666666666667
2358,2009-2010,Accomack County,Arcadia High,M,5.0,Y,Y,N,5,100.0,0.0
2394,2009-2010,Accomack County,Chincoteague High,F,3.0,N,Y,N,2,100.0,0.0
2408,2009-2010,Accomack County,Chincoteague High,F,5.0,N,N,N,19,94.73684210526316,0.0
2410,2009-2010,Accomack County,Chincoteague High,F,5.0,N,Y,N,4,75.0,0.0
2413,2009-2010,Accomack County,Chincoteague High,F,5.0,Y,N,Y,1,100.0,0.0
2414,2009-2010,Accomack County,Chincoteague High,F,5.0,Y,Y,N,1,0.0,100.0
2450,2009-2010,Accomack County,Chincoteague High,M,3.0,N,Y,N,1,100.0,0.0
2464,2009-2010,Accomack County,Chincoteague High,M,5.0,N,N,N,20,90.0,5.0
2465,2009-2010,Accomack County,Chincoteague High,M,5.0,N,N,Y,1,100.0,0.0
2466,2009-2010,Accomack County,Chincoteague High,M,5.0,N,Y,N,5,60.0,20.0
2468,2009-2010,Accomack County,Chincoteague High,M,5.0,Y,N,N,1,100.0,0.0
2470,2009-2010,Accomack County,Chincoteague High,M,5.0,Y,Y,N,1,100.0,0.0
2504,2009-2010,Accomack County,Nandua High,F,3.0,N,N,N,5,60.0,40.0
2506,2009-2010,Accomack County,Nandua High,F,3.0,N,Y,N,34,79.41176470588235,5.882352941176471
2507,2009-2010,Accomack County,Nandua High,F,3.0,N,Y,Y,1,100.0,0.0
2510,2009-2010,Accomack County,Nandua High,F,3.0,Y,Y,N,1,100.0,0.0
2520,2009-2010,Accomack County,Nandua High,F,5.0,N,N,N,30,90.0,6.666666666666667
2522,2009-2010,Accomack County,Nandua High,F,5.0,N,Y,N,10,90.0,0.0
2524,2009-2010,Accomack County,Nandua High,F,5.0,Y,N,N,1,0.0,100.0
