,SCHOOL_YEAR,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2816,2007-2008,Accomack County,Arcadia High,F,3.0,N,N,N,18,66.66666666666667,33.333333333333336
2818,2007-2008,Accomack County,Arcadia High,F,3.0,N,Y,N,34,52.94117647058823,35.294117647058826
2820,2007-2008,Accomack County,Arcadia High,F,3.0,Y,N,N,3,66.66666666666667,33.333333333333336
2822,2007-2008,Accomack County,Arcadia High,F,3.0,Y,Y,N,7,100.0,0.0
2832,2007-2008,Accomack County,Arcadia High,F,5.0,N,N,N,33,75.75757575757575,9.090909090909092
2834,2007-2008,Accomack County,Arcadia High,F,5.0,N,Y,N,13,46.15384615384615,46.15384615384615
2836,2007-2008,Accomack County,Arcadia High,F,5.0,Y,N,N,3,66.66666666666667,33.333333333333336
2838,2007-2008,Accomack County,Arcadia High,F,5.0,Y,Y,N,2,100.0,0.0
2872,2007-2008,Accomack County,Arcadia High,M,3.0,N,N,N,12,50.0,50.0
2874,2007-2008,Accomack County,Arcadia High,M,3.0,N,Y,N,32,62.5,31.25
2876,2007-2008,Accomack County,Arcadia High,M,3.0,Y,N,N,3,0.0,100.0
2878,2007-2008,Accomack County,Arcadia High,M,3.0,Y,Y,N,3,66.66666666666667,33.333333333333336
2888,2007-2008,Accomack County,Arcadia High,M,5.0,N,N,N,37,78.37837837837837,13.513513513513514
2890,2007-2008,Accomack County,Arcadia High,M,5.0,N,Y,N,3,66.66666666666667,0.0
2892,2007-2008,Accomack County,Arcadia High,M,5.0,Y,N,N,3,66.66666666666667,33.333333333333336
2894,2007-2008,Accomack County,Arcadia High,M,5.0,Y,Y,N,3,33.333333333333336,33.333333333333336
2944,2007-2008,Accomack County,Chincoteague High,F,5.0,N,N,N,14,85.71428571428571,14.285714285714286
2946,2007-2008,Accomack County,Chincoteague High,F,5.0,N,Y,N,4,100.0,0.0
3000,2007-2008,Accomack County,Chincoteague High,M,5.0,N,N,N,14,85.71428571428571,7.142857142857143
3002,2007-2008,Accomack County,Chincoteague High,M,5.0,N,Y,N,3,33.333333333333336,66.66666666666667
3004,2007-2008,Accomack County,Chincoteague High,M,5.0,Y,N,N,1,100.0,0.0
3040,2007-2008,Accomack County,Nandua High,F,3.0,N,N,N,15,86.66666666666667,13.333333333333334
3042,2007-2008,Accomack County,Nandua High,F,3.0,N,Y,N,58,63.793103448275865,29.310344827586206
3044,2007-2008,Accomack County,Nandua High,F,3.0,Y,N,N,1,100.0,0.0
3046,2007-2008,Accomack County,Nandua High,F,3.0,Y,Y,N,7,85.71428571428571,14.285714285714286
3056,2007-2008,Accomack County,Nandua High,F,5.0,N,N,N,31,80.64516129032258,19.35483870967742
3058,2007-2008,Accomack County,Nandua High,F,5.0,N,Y,N,4,75.0,25.0
3062,2007-2008,Accomack County,Nandua High,F,5.0,Y,Y,N,1,100.0,0.0
3096,2007-2008,Accomack County,Nandua High,M,3.0,N,N,N,23,39.130434782608695,47.82608695652174
3098,2007-2008,Accomack County,Nandua High,M,3.0,N,Y,N,42,47.61904761904762,42.857142857142854
3100,2007-2008,Accomack County,Nandua High,M,3.0,Y,N,N,2,0.0,100.0
3102,2007-2008,Accomack County,Nandua High,M,3.0,Y,Y,N,9,44.44444444444444,55.55555555555556
3112,2007-2008,Accomack County,Nandua High,M,5.0,N,N,N,30,90.0,0.0
3114,2007-2008,Accomack County,Nandua High,M,5.0,N,Y,N,3,66.66666666666667,0.0
3116,2007-2008,Accomack County,Nandua High,M,5.0,Y,N,N,6,16.666666666666668,83.33333333333333
3118,2007-2008,Accomack County,Nandua High,M,5.0,Y,Y,N,2,50.0,50.0
3168,2007-2008,Accomack County,Tangier Combined,F,5.0,N,N,N,3,100.0,0.0
3170,2007-2008,Accomack County,Tangier Combined,F,5.0,N,Y,N,2,100.0,0.0
3224,2007-2008,Accomack County,Tangier Combined,M,5.0,N,N,N,4,75.0,25.0
3226,2007-2008,Accomack County,Tangier Combined,M,5.0,N,Y,N,1,100.0,0.0
3228,2007-2008,Accomack County,Tangier Combined,M,5.0,Y,N,N,1,100.0,0.0
2816,2007-2008,Albemarle County,Albemarle High,F,3.0,N,N,N,18,83.33333333333333,11.11111111111111
2817,2007-2008,Albemarle County,Albemarle High,F,3.0,N,N,Y,1,0.0,0.0
2818,2007-2008,Albemarle County,Albemarle High,F,3.0,N,Y,N,12,83.33333333333333,8.333333333333334
2819,2007-2008,Albemarle County,Albemarle High,F,3.0,N,Y,Y,1,100.0,0.0
2832,2007-2008,Albemarle County,Albemarle High,F,5.0,N,N,N,125,96.8,3.2
2833,2007-2008,Albemarle County,Albemarle High,F,5.0,N,N,Y,2,100.0,0.0
2834,2007-2008,Albemarle County,Albemarle High,F,5.0,N,Y,N,4,50.0,25.0
2835,2007-2008,Albemarle County,Albemarle High,F,5.0,N,Y,Y,2,0.0,0.0
2836,2007-2008,Albemarle County,Albemarle High,F,5.0,Y,N,N,8,75.0,12.5
2872,2007-2008,Albemarle County,Albemarle High,M,3.0,N,N,N,15,66.66666666666667,26.666666666666668
2874,2007-2008,Albemarle County,Albemarle High,M,3.0,N,Y,N,4,75.0,0.0
2876,2007-2008,Albemarle County,Albemarle High,M,3.0,Y,N,N,2,100.0,0.0
2878,2007-2008,Albemarle County,Albemarle High,M,3.0,Y,Y,N,3,100.0,0.0
2888,2007-2008,Albemarle County,Albemarle High,M,5.0,N,N,N,106,91.50943396226415,3.7735849056603774
2889,2007-2008,Albemarle County,Albemarle High,M,5.0,N,N,Y,2,50.0,50.0
2890,2007-2008,Albemarle County,Albemarle High,M,5.0,N,Y,N,7,14.285714285714286,42.857142857142854
2892,2007-2008,Albemarle County,Albemarle High,M,5.0,Y,N,N,21,76.19047619047619,19.047619047619047
2894,2007-2008,Albemarle County,Albemarle High,M,5.0,Y,Y,N,6,83.33333333333333,16.666666666666668
2928,2007-2008,Albemarle County,Monticello High,F,3.0,N,N,N,16,100.0,0.0
2929,2007-2008,Albemarle County,Monticello High,F,3.0,N,N,Y,1,100.0,0.0
