,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2288,2016-2017,Accomack County,Arcadia High,3.0,F,N,N,N,2,100.0,0.0
2289,2016-2017,Accomack County,Arcadia High,3.0,F,N,N,Y,20,90.0,0.0
2291,2016-2017,Accomack County,Arcadia High,3.0,F,N,Y,Y,2,50.0,50.0
2296,2016-2017,Accomack County,Arcadia High,3.0,M,N,N,N,1,100.0,0.0
2297,2016-2017,Accomack County,Arcadia High,3.0,M,N,N,Y,16,62.5,18.75
2301,2016-2017,Accomack County,Arcadia High,3.0,M,Y,N,Y,3,66.66666666666667,0.0
2320,2016-2017,Accomack County,Arcadia High,5.0,F,N,N,N,16,100.0,0.0
2321,2016-2017,Accomack County,Arcadia High,5.0,F,N,N,Y,9,77.77777777777777,11.11111111111111
2325,2016-2017,Accomack County,Arcadia High,5.0,F,Y,N,Y,2,100.0,0.0
2328,2016-2017,Accomack County,Arcadia High,5.0,M,N,N,N,17,88.23529411764706,11.764705882352942
2329,2016-2017,Accomack County,Arcadia High,5.0,M,N,N,Y,10,90.0,10.0
2401,2016-2017,Accomack County,Chincoteague High,3.0,F,N,N,Y,1,100.0,0.0
2409,2016-2017,Accomack County,Chincoteague High,3.0,M,N,N,Y,4,100.0,0.0
2432,2016-2017,Accomack County,Chincoteague High,5.0,F,N,N,N,9,100.0,0.0
2433,2016-2017,Accomack County,Chincoteague High,5.0,F,N,N,Y,2,100.0,0.0
2437,2016-2017,Accomack County,Chincoteague High,5.0,F,Y,N,Y,3,100.0,0.0
2440,2016-2017,Accomack County,Chincoteague High,5.0,M,N,N,N,13,100.0,0.0
2441,2016-2017,Accomack County,Chincoteague High,5.0,M,N,N,Y,2,100.0,0.0
2445,2016-2017,Accomack County,Chincoteague High,5.0,M,Y,N,Y,2,100.0,0.0
2512,2016-2017,Accomack County,Nandua High,3.0,F,N,N,N,3,100.0,0.0
2513,2016-2017,Accomack County,Nandua High,3.0,F,N,N,Y,27,92.5925925925926,7.407407407407407
2514,2016-2017,Accomack County,Nandua High,3.0,F,N,Y,N,1,100.0,0.0
2517,2016-2017,Accomack County,Nandua High,3.0,F,Y,N,Y,2,100.0,0.0
2520,2016-2017,Accomack County,Nandua High,3.0,M,N,N,N,4,100.0,0.0
2521,2016-2017,Accomack County,Nandua High,3.0,M,N,N,Y,22,86.36363636363636,0.0
2523,2016-2017,Accomack County,Nandua High,3.0,M,N,Y,Y,1,100.0,0.0
2525,2016-2017,Accomack County,Nandua High,3.0,M,Y,N,Y,5,60.0,40.0
2528,2016-2017,Accomack County,Nandua High,4.0,F,N,N,N,3,100.0,0.0
2529,2016-2017,Accomack County,Nandua High,4.0,F,N,N,Y,5,100.0,0.0
2531,2016-2017,Accomack County,Nandua High,4.0,F,N,Y,Y,2,100.0,0.0
2535,2016-2017,Accomack County,Nandua High,4.0,F,Y,Y,Y,1,0.0,100.0
2536,2016-2017,Accomack County,Nandua High,4.0,M,N,N,N,1,100.0,0.0
2537,2016-2017,Accomack County,Nandua High,4.0,M,N,N,Y,2,100.0,0.0
2539,2016-2017,Accomack County,Nandua High,4.0,M,N,Y,Y,11,81.81818181818181,18.181818181818183
2541,2016-2017,Accomack County,Nandua High,4.0,M,Y,N,Y,1,100.0,0.0
2544,2016-2017,Accomack County,Nandua High,5.0,F,N,N,N,19,100.0,0.0
2545,2016-2017,Accomack County,Nandua High,5.0,F,N,N,Y,5,100.0,0.0
2552,2016-2017,Accomack County,Nandua High,5.0,M,N,N,N,29,96.55172413793103,0.0
2553,2016-2017,Accomack County,Nandua High,5.0,M,N,N,Y,8,100.0,0.0
2556,2016-2017,Accomack County,Nandua High,5.0,M,Y,N,N,1,100.0,0.0
2557,2016-2017,Accomack County,Nandua High,5.0,M,Y,N,Y,3,33.333333333333336,33.333333333333336
2808,2016-2017,Albemarle County,Albemarle High,2.0,F,N,N,N,12,100.0,0.0
2809,2016-2017,Albemarle County,Albemarle High,2.0,F,N,N,Y,2,100.0,0.0
2810,2016-2017,Albemarle County,Albemarle High,2.0,F,N,Y,N,2,100.0,0.0
2811,2016-2017,Albemarle County,Albemarle High,2.0,F,N,Y,Y,4,100.0,0.0
2816,2016-2017,Albemarle County,Albemarle High,2.0,M,N,N,N,8,100.0,0.0
2817,2016-2017,Albemarle County,Albemarle High,2.0,M,N,N,Y,4,100.0,0.0
2819,2016-2017,Albemarle County,Albemarle High,2.0,M,N,Y,Y,1,100.0,0.0
2820,2016-2017,Albemarle County,Albemarle High,2.0,M,Y,N,N,1,100.0,0.0
2824,2016-2017,Albemarle County,Albemarle High,3.0,F,N,N,N,14,92.85714285714286,0.0
2825,2016-2017,Albemarle County,Albemarle High,3.0,F,N,N,Y,10,90.0,0.0
2827,2016-2017,Albemarle County,Albemarle High,3.0,F,N,Y,Y,2,50.0,0.0
2828,2016-2017,Albemarle County,Albemarle High,3.0,F,Y,N,N,3,66.66666666666667,33.333333333333336
2829,2016-2017,Albemarle County,Albemarle High,3.0,F,Y,N,Y,1,100.0,0.0
2832,2016-2017,Albemarle County,Albemarle High,3.0,M,N,N,N,11,100.0,0.0
2833,2016-2017,Albemarle County,Albemarle High,3.0,M,N,N,Y,11,81.81818181818181,0.0
2834,2016-2017,Albemarle County,Albemarle High,3.0,M,N,Y,N,1,100.0,0.0
2835,2016-2017,Albemarle County,Albemarle High,3.0,M,N,Y,Y,2,100.0,0.0
2836,2016-2017,Albemarle County,Albemarle High,3.0,M,Y,N,N,3,100.0,0.0
2837,2016-2017,Albemarle County,Albemarle High,3.0,M,Y,N,Y,9,100.0,0.0
2840,2016-2017,Albemarle County,Albemarle High,4.0,F,N,N,N,10,100.0,0.0
2841,2016-2017,Albemarle County,Albemarle High,4.0,F,N,N,Y,4,100.0,0.0
2842,2016-2017,Albemarle County,Albemarle High,4.0,F,N,Y,N,1,0.0,100.0
2843,2016-2017,Albemarle County,Albemarle High,4.0,F,N,Y,Y,5,100.0,0.0
2844,2016-2017,Albemarle County,Albemarle High,4.0,F,Y,N,N,1,100.0,0.0
2848,2016-2017,Albemarle County,Albemarle High,4.0,M,N,N,N,8,100.0,0.0
2849,2016-2017,Albemarle County,Albemarle High,4.0,M,N,N,Y,7,100.0,0.0
2850,2016-2017,Albemarle County,Albemarle High,4.0,M,N,Y,N,3,100.0,0.0
2851,2016-2017,Albemarle County,Albemarle High,4.0,M,N,Y,Y,6,83.33333333333333,16.666666666666668
2856,2016-2017,Albemarle County,Albemarle High,5.0,F,N,N,N,137,98.54014598540147,0.7299270072992701
2857,2016-2017,Albemarle County,Albemarle High,5.0,F,N,N,Y,9,88.88888888888889,11.11111111111111
2858,2016-2017,Albemarle County,Albemarle High,5.0,F,N,Y,N,1,100.0,0.0
2859,2016-2017,Albemarle County,Albemarle High,5.0,F,N,Y,Y,1,100.0,0.0
2860,2016-2017,Albemarle County,Albemarle High,5.0,F,Y,N,N,9,77.77777777777777,11.11111111111111
2861,2016-2017,Albemarle County,Albemarle High,5.0,F,Y,N,Y,3,100.0,0.0
2864,2016-2017,Albemarle County,Albemarle High,5.0,M,N,N,N,106,98.11320754716981,0.0
2865,2016-2017,Albemarle County,Albemarle High,5.0,M,N,N,Y,6,83.33333333333333,0.0
2867,2016-2017,Albemarle County,Albemarle High,5.0,M,N,Y,Y,4,75.0,0.0
2868,2016-2017,Albemarle County,Albemarle High,5.0,M,Y,N,N,6,100.0,0.0
2869,2016-2017,Albemarle County,Albemarle High,5.0,M,Y,N,Y,7,100.0,0.0
2936,2016-2017,Albemarle County,Monticello High,3.0,F,N,N,N,13,100.0,0.0
2937,2016-2017,Albemarle County,Monticello High,3.0,F,N,N,Y,9,100.0,0.0
2940,2016-2017,Albemarle County,Monticello High,3.0,F,Y,N,N,3,100.0,0.0
2941,2016-2017,Albemarle County,Monticello High,3.0,F,Y,N,Y,2,100.0,0.0
2944,2016-2017,Albemarle County,Monticello High,3.0,M,N,N,N,9,100.0,0.0
2945,2016-2017,Albemarle County,Monticello High,3.0,M,N,N,Y,5,100.0,0.0
2949,2016-2017,Albemarle County,Monticello High,3.0,M,Y,N,Y,5,80.0,20.0
2968,2016-2017,Albemarle County,Monticello High,5.0,F,N,N,N,73,97.26027397260275,1.36986301369863
2969,2016-2017,Albemarle County,Monticello High,5.0,F,N,N,Y,20,100.0,0.0
2971,2016-2017,Albemarle County,Monticello High,5.0,F,N,Y,Y,1,100.0,0.0
2972,2016-2017,Albemarle County,Monticello High,5.0,F,Y,N,N,2,100.0,0.0
2973,2016-2017,Albemarle County,Monticello High,5.0,F,Y,N,Y,5,40.0,60.0
2976,2016-2017,Albemarle County,Monticello High,5.0,M,N,N,N,62,93.54838709677419,3.225806451612903
2977,2016-2017,Albemarle County,Monticello High,5.0,M,N,N,Y,20,80.0,5.0
2980,2016-2017,Albemarle County,Monticello High,5.0,M,Y,N,N,14,78.57142857142857,21.428571428571427
2981,2016-2017,Albemarle County,Monticello High,5.0,M,Y,N,Y,3,100.0,0.0
3080,2016-2017,Albemarle County,Murray High,5.0,F,N,N,N,6,83.33333333333333,0.0
3081,2016-2017,Albemarle County,Murray High,5.0,F,N,N,Y,2,50.0,50.0
3084,2016-2017,Albemarle County,Murray High,5.0,F,Y,N,N,1,0.0,100.0
3088,2016-2017,Albemarle County,Murray High,5.0,M,N,N,N,7,85.71428571428571,0.0
3092,2016-2017,Albemarle County,Murray High,5.0,M,Y,N,N,3,100.0,0.0
3093,2016-2017,Albemarle County,Murray High,5.0,M,Y,N,Y,2,100.0,0.0
3192,2016-2017,Albemarle County,Western Albemarle High,5.0,F,N,N,N,97,100.0,0.0
