,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2580,2012-2013,Accomack County,Arcadia High,3.0,F,N,N,N,5,80.0,0.0
2581,2012-2013,Accomack County,Arcadia High,3.0,F,N,N,Y,36,91.66666666666667,2.7777777777777777
2583,2012-2013,Accomack County,Arcadia High,3.0,F,N,Y,Y,1,0.0,0.0
2585,2012-2013,Accomack County,Arcadia High,3.0,F,Y,N,Y,1,0.0,100.0
2588,2012-2013,Accomack County,Arcadia High,3.0,M,N,N,N,5,100.0,0.0
2589,2012-2013,Accomack County,Arcadia High,3.0,M,N,N,Y,13,92.3076923076923,7.6923076923076925
2590,2012-2013,Accomack County,Arcadia High,3.0,M,N,Y,N,1,100.0,0.0
2591,2012-2013,Accomack County,Arcadia High,3.0,M,N,Y,Y,1,100.0,0.0
2592,2012-2013,Accomack County,Arcadia High,3.0,M,Y,N,N,1,0.0,0.0
2593,2012-2013,Accomack County,Arcadia High,3.0,M,Y,N,Y,6,66.66666666666667,0.0
2597,2012-2013,Accomack County,Arcadia High,4.0,F,N,N,Y,2,100.0,0.0
2599,2012-2013,Accomack County,Arcadia High,4.0,F,N,Y,Y,11,72.72727272727273,27.272727272727273
2603,2012-2013,Accomack County,Arcadia High,4.0,F,Y,Y,Y,1,100.0,0.0
2604,2012-2013,Accomack County,Arcadia High,4.0,M,N,N,N,2,50.0,50.0
2605,2012-2013,Accomack County,Arcadia High,4.0,M,N,N,Y,2,100.0,0.0
2607,2012-2013,Accomack County,Arcadia High,4.0,M,N,Y,Y,6,50.0,33.333333333333336
2608,2012-2013,Accomack County,Arcadia High,4.0,M,Y,N,N,1,100.0,0.0
2612,2012-2013,Accomack County,Arcadia High,5.0,F,N,N,N,13,92.3076923076923,7.6923076923076925
2613,2012-2013,Accomack County,Arcadia High,5.0,F,N,N,Y,9,77.77777777777777,0.0
2620,2012-2013,Accomack County,Arcadia High,5.0,M,N,N,N,12,91.66666666666667,0.0
2621,2012-2013,Accomack County,Arcadia High,5.0,M,N,N,Y,13,61.53846153846154,15.384615384615385
2624,2012-2013,Accomack County,Arcadia High,5.0,M,Y,N,N,3,100.0,0.0
2625,2012-2013,Accomack County,Arcadia High,5.0,M,Y,N,Y,4,75.0,0.0
2708,2012-2013,Accomack County,Chincoteague High,3.0,F,N,N,N,1,100.0,0.0
2709,2012-2013,Accomack County,Chincoteague High,3.0,F,N,N,Y,1,100.0,0.0
2717,2012-2013,Accomack County,Chincoteague High,3.0,M,N,N,Y,1,0.0,100.0
2740,2012-2013,Accomack County,Chincoteague High,5.0,F,N,N,N,7,85.71428571428571,14.285714285714286
2741,2012-2013,Accomack County,Chincoteague High,5.0,F,N,N,Y,4,75.0,25.0
2748,2012-2013,Accomack County,Chincoteague High,5.0,M,N,N,N,11,90.9090909090909,9.090909090909092
2749,2012-2013,Accomack County,Chincoteague High,5.0,M,N,N,Y,3,100.0,0.0
2752,2012-2013,Accomack County,Chincoteague High,5.0,M,Y,N,N,1,100.0,0.0
2753,2012-2013,Accomack County,Chincoteague High,5.0,M,Y,N,Y,4,50.0,50.0
2836,2012-2013,Accomack County,Nandua High,3.0,F,N,N,N,5,100.0,0.0
2837,2012-2013,Accomack County,Nandua High,3.0,F,N,N,Y,23,100.0,0.0
2839,2012-2013,Accomack County,Nandua High,3.0,F,N,Y,Y,2,50.0,50.0
2841,2012-2013,Accomack County,Nandua High,3.0,F,Y,N,Y,1,100.0,0.0
2844,2012-2013,Accomack County,Nandua High,3.0,M,N,N,N,5,100.0,0.0
2845,2012-2013,Accomack County,Nandua High,3.0,M,N,N,Y,20,85.0,0.0
2847,2012-2013,Accomack County,Nandua High,3.0,M,N,Y,Y,2,50.0,50.0
2848,2012-2013,Accomack County,Nandua High,3.0,M,Y,N,N,1,100.0,0.0
2849,2012-2013,Accomack County,Nandua High,3.0,M,Y,N,Y,6,66.66666666666667,16.666666666666668
2868,2012-2013,Accomack County,Nandua High,5.0,F,N,N,N,18,100.0,0.0
2869,2012-2013,Accomack County,Nandua High,5.0,F,N,N,Y,13,92.3076923076923,0.0
2876,2012-2013,Accomack County,Nandua High,5.0,M,N,N,N,22,95.45454545454545,0.0
2877,2012-2013,Accomack County,Nandua High,5.0,M,N,N,Y,4,75.0,0.0
2880,2012-2013,Accomack County,Nandua High,5.0,M,Y,N,N,4,50.0,25.0
2881,2012-2013,Accomack County,Nandua High,5.0,M,Y,N,Y,1,100.0,0.0
3181,2012-2013,Albemarle County,Albemarle High,3.0,F,N,N,N,15,93.33333333333333,6.666666666666667
3182,2012-2013,Albemarle County,Albemarle High,3.0,F,N,N,Y,11,90.9090909090909,0.0
3184,2012-2013,Albemarle County,Albemarle High,3.0,F,N,Y,Y,1,100.0,0.0
3185,2012-2013,Albemarle County,Albemarle High,3.0,F,Y,N,N,3,33.333333333333336,66.66666666666667
3186,2012-2013,Albemarle County,Albemarle High,3.0,F,Y,N,Y,5,100.0,0.0
3189,2012-2013,Albemarle County,Albemarle High,3.0,M,N,N,N,14,85.71428571428571,14.285714285714286
3190,2012-2013,Albemarle County,Albemarle High,3.0,M,N,N,Y,3,66.66666666666667,33.333333333333336
3193,2012-2013,Albemarle County,Albemarle High,3.0,M,Y,N,N,3,100.0,0.0
3194,2012-2013,Albemarle County,Albemarle High,3.0,M,Y,N,Y,3,100.0,0.0
3197,2012-2013,Albemarle County,Albemarle High,4.0,F,N,N,N,12,83.33333333333333,8.333333333333334
3198,2012-2013,Albemarle County,Albemarle High,4.0,F,N,N,Y,6,83.33333333333333,0.0
3199,2012-2013,Albemarle County,Albemarle High,4.0,F,N,Y,N,1,100.0,0.0
3200,2012-2013,Albemarle County,Albemarle High,4.0,F,N,Y,Y,2,50.0,50.0
3205,2012-2013,Albemarle County,Albemarle High,4.0,M,N,N,N,8,100.0,0.0
3206,2012-2013,Albemarle County,Albemarle High,4.0,M,N,N,Y,5,80.0,20.0
3207,2012-2013,Albemarle County,Albemarle High,4.0,M,N,Y,N,1,100.0,0.0
3208,2012-2013,Albemarle County,Albemarle High,4.0,M,N,Y,Y,3,66.66666666666667,33.333333333333336
3213,2012-2013,Albemarle County,Albemarle High,5.0,F,N,N,N,114,98.24561403508773,0.8771929824561403
3214,2012-2013,Albemarle County,Albemarle High,5.0,F,N,N,Y,10,100.0,0.0
3215,2012-2013,Albemarle County,Albemarle High,5.0,F,N,Y,N,1,100.0,0.0
3217,2012-2013,Albemarle County,Albemarle High,5.0,F,Y,N,N,9,88.88888888888889,11.11111111111111
3218,2012-2013,Albemarle County,Albemarle High,5.0,F,Y,N,Y,1,100.0,0.0
3221,2012-2013,Albemarle County,Albemarle High,5.0,M,N,N,N,129,98.44961240310077,0.0
3222,2012-2013,Albemarle County,Albemarle High,5.0,M,N,N,Y,10,100.0,0.0
3224,2012-2013,Albemarle County,Albemarle High,5.0,M,N,Y,Y,2,50.0,50.0
3225,2012-2013,Albemarle County,Albemarle High,5.0,M,Y,N,N,10,90.0,0.0
3226,2012-2013,Albemarle County,Albemarle High,5.0,M,Y,N,Y,4,100.0,0.0
3245,2012-2013,Albemarle County,Albemarle High,99.0,F,N,N,N,10,100.0,0.0
3246,2012-2013,Albemarle County,Albemarle High,99.0,F,N,N,Y,2,100.0,0.0
3250,2012-2013,Albemarle County,Albemarle High,99.0,F,Y,N,Y,1,0.0,100.0
3253,2012-2013,Albemarle County,Albemarle High,99.0,M,N,N,N,10,100.0,0.0
3254,2012-2013,Albemarle County,Albemarle High,99.0,M,N,N,Y,4,100.0,0.0
3256,2012-2013,Albemarle County,Albemarle High,99.0,M,N,Y,Y,1,100.0,0.0
3309,2012-2013,Albemarle County,Monticello High,3.0,F,N,N,N,7,100.0,0.0
3310,2012-2013,Albemarle County,Monticello High,3.0,F,N,N,Y,4,100.0,0.0
3313,2012-2013,Albemarle County,Monticello High,3.0,F,Y,N,N,2,100.0,0.0
3317,2012-2013,Albemarle County,Monticello High,3.0,M,N,N,N,14,100.0,0.0
3318,2012-2013,Albemarle County,Monticello High,3.0,M,N,N,Y,8,100.0,0.0
3321,2012-2013,Albemarle County,Monticello High,3.0,M,Y,N,N,3,100.0,0.0
3322,2012-2013,Albemarle County,Monticello High,3.0,M,Y,N,Y,3,100.0,0.0
3341,2012-2013,Albemarle County,Monticello High,5.0,F,N,N,N,66,95.45454545454545,3.0303030303030303
3342,2012-2013,Albemarle County,Monticello High,5.0,F,N,N,Y,20,90.0,5.0
3345,2012-2013,Albemarle County,Monticello High,5.0,F,Y,N,N,6,66.66666666666667,16.666666666666668
